Inv01_Temp,Wms01_Irr,Wms01_Temp,Avg_Energy,Date,Hour,Quarter
42.518181818181816,586.5454545454545,28.39090909090909,4.230769230769231,2020-07-10,14,2
42.31428571428571,549.3571428571429,28.542857142857144,3.9411764705882355,2020-07-10,14,3
42.12307692307692,624.9230769230769,28.515384615384615,4.357142857142857,2020-07-10,14,4
42.35333333333333,619.4666666666667,28.953333333333333,4.5,2020-07-10,15,1
42.65,559.0714285714286,29.77857142857143,3.933333333333333,2020-07-10,15,2
42.51538461538462,393.0769230769231,29.353846153846156,2.8666666666666667,2020-07-10,15,3
41.9,327.4166666666667,29.400000000000002,2.357142857142857,2020-07-10,15,4
41.385714285714286,214.07142857142858,28.77857142857143,1.4375,2020-07-10,16,1
40.785714285714285,181.5,27.95,1.2666666666666666,2020-07-10,16,2
40.357142857142854,161.57142857142858,27.792857142857144,1.1333333333333333,2020-07-10,16,3
40.675,414.5,29.141666666666666,2.7142857142857144,2020-07-10,16,4
41.135714285714286,357.7857142857143,29.599999999999998,2.125,2020-07-10,17,1
41.0,226.16666666666666,29.483333333333334,1.3571428571428572,2020-07-10,17,2
40.74615384615385,223.07692307692307,29.43846153846154,1.1875,2020-07-10,17,3
40.541666666666664,144.33333333333334,28.916666666666668,0.8571428571428571,2020-07-10,17,4
40.550000000000004,56.57142857142857,27.392857142857142,0.375,2020-07-10,18,1
45.84285714285714,14.785714285714286,26.22142857142857,0.13333333333333333,2020-07-10,18,2
47.557142857142864,4.571428571428571,25.82857142857143,0.1111111111111111,2020-07-10,18,3
33.8,19.8,20.6,0.001402524544179523,2020-07-10,6,2
35.541666666666664,29.083333333333332,20.6,0.21428571428571427,2020-07-10,6,3
37.52727272727273,57.81818181818182,20.7,0.38461538461538464,2020-07-10,6,4
39.457142857142856,65.28571428571429,20.77857142857143,0.5,2020-07-10,7,1
41.12307692307692,48.46153846153846,21.023076923076925,0.4,2020-07-10,7,2
42.31428571428571,56.214285714285715,20.985714285714288,0.4,2020-07-10,7,3
43.13333333333333,65.08333333333333,20.991666666666667,0.46153846153846156,2020-07-10,7,4
43.83571428571429,63.92857142857143,21.057142857142857,0.47058823529411764,2020-07-10,8,1
44.56923076923077,142.30769230769232,21.36923076923077,1.1333333333333333,2020-07-10,8,2
45.42307692307692,210.46153846153845,21.815384615384612,1.6,2020-07-10,8,3
46.190909090909095,132.8181818181818,21.78181818181818,1.0769230769230769,2020-07-10,8,4
46.638461538461534,197.3846153846154,21.876923076923074,1.588235294117647,2020-07-10,9,1
46.6,304.2857142857143,22.07857142857143,2.3333333333333335,2020-07-10,9,2
41.20769230769231,377.53846153846155,22.45384615384615,2.8,2020-07-10,9,3
45.61666666666667,297.75,23.133333333333336,2.357142857142857,2020-07-10,9,4
40.49285714285714,514.8571428571429,27.00714285714286,3.625,2020-07-11,10,1
40.284615384615385,765.1538461538462,28.146153846153844,5.533333333333333,2020-07-11,10,2
41.18571428571429,801.2142857142857,28.75714285714286,5.733333333333333,2020-07-11,10,3
41.92307692307692,1000.0769230769231,29.0,6.0,2020-07-11,10,4
42.94285714285714,915.3571428571429,29.557142857142857,6.533333333333333,2020-07-11,11,1
43.353846153846156,878.5384615384615,28.646153846153844,5.5,2020-07-11,11,2
43.90714285714286,883.1428571428571,29.535714285714285,5.533333333333333,2020-07-11,11,3
43.46153846153846,723.0,28.892307692307693,4.928571428571429,2020-07-11,11,4
43.79333333333333,775.6,29.846666666666668,5.125,2020-07-11,12,1
44.4076923076923,663.0769230769231,30.184615384615384,4.8,2020-07-11,12,2
44.98461538461538,978.2307692307693,30.73076923076923,6.733333333333333,2020-07-11,12,3
44.9,970.4545454545455,29.236363636363638,5.0,2020-07-11,12,4
44.684615384615384,589.6923076923077,29.146153846153844,4.529411764705882,2020-07-11,13,1
44.38461538461539,702.3846153846154,30.299999999999997,4.8,2020-07-11,13,2
44.88461538461539,919.5384615384615,31.338461538461537,5.333333333333333,2020-07-11,13,3
45.176923076923075,706.5384615384615,31.26923076923077,4.714285714285714,2020-07-11,13,4
45.16428571428571,714.7857142857143,31.135714285714283,4.0625,2020-07-11,14,1
44.70769230769231,416.0,30.93846153846154,3.066666666666667,2020-07-11,14,2
43.690909090909095,343.0,29.60909090909091,2.230769230769231,2020-07-11,14,3
42.6,275.0833333333333,29.05,2.0625,2020-07-11,14,4
41.83571428571429,278.7142857142857,28.928571428571427,2.0,2020-07-11,15,1
42.276923076923076,680.2307692307693,30.146153846153844,4.333333333333333,2020-07-11,15,2
44.00714285714286,681.5,32.06428571428571,4.466666666666667,2020-07-11,15,3
44.64166666666667,633.8333333333334,31.483333333333334,3.9285714285714284,2020-07-11,15,4
44.771428571428565,566.6428571428571,31.6,3.6875,2020-07-11,16,1
44.475,331.6666666666667,31.175,2.2,2020-07-11,16,2
43.892307692307696,453.46153846153845,31.392307692307693,2.8666666666666667,2020-07-11,16,3
43.81666666666666,355.8333333333333,31.308333333333334,2.2857142857142856,2020-07-11,16,4
43.214285714285715,327.7142857142857,30.985714285714288,1.9375,2020-07-11,17,1
42.63846153846154,275.38461538461536,30.746153846153845,1.6,2020-07-11,17,2
42.41538461538461,251.23076923076923,30.66923076923077,1.4666666666666666,2020-07-11,17,3
42.445454545454545,208.72727272727272,30.818181818181817,1.1538461538461537,2020-07-11,17,4
42.207142857142856,144.0,30.085714285714285,0.8235294117647058,2020-07-11,18,1
41.67142857142857,49.857142857142854,28.74285714285714,0.3333333333333333,2020-07-11,18,2
41.1,10.454545454545455,27.763636363636362,0.15384615384615385,2020-07-11,18,3
34.3125,15.75,21.4,0.0028208744710860366,2020-07-11,6,2
36.49285714285714,31.642857142857142,21.42142857142857,0.23529411764705882,2020-07-11,6,3
38.5,57.416666666666664,21.633333333333336,0.42857142857142855,2020-07-11,6,4
40.371428571428574,94.0,21.914285714285715,0.6875,2020-07-11,7,1
41.91538461538461,144.69230769230768,22.27692307692308,1.0,2020-07-11,7,2
43.146153846153844,203.0,22.99230769230769,1.3333333333333333,2020-07-11,7,3
44.166666666666664,206.58333333333334,23.175,1.5,2020-07-11,7,4
45.15,280.35714285714283,23.75714285714286,1.9375,2020-07-11,8,1
46.074999999999996,296.6666666666667,24.116666666666664,2.0714285714285716,2020-07-11,8,2
46.791666666666664,292.0,24.241666666666664,2.0625,2020-07-11,8,3
44.625,385.9166666666667,24.566666666666666,2.7857142857142856,2020-07-11,8,4
37.55333333333333,503.3333333333333,25.533333333333335,3.4375,2020-07-11,9,1
37.5,567.0,26.06153846153846,3.8,2020-07-11,9,2
38.42727272727273,592.9090909090909,26.972727272727273,4.0,2020-07-11,9,3
39.475,699.1666666666666,27.666666666666668,4.625,2020-07-11,9,4
42.873333333333335,301.6666666666667,24.873333333333335,2.1875,2020-07-12,10,1
39.353846153846156,595.7692307692307,25.799999999999997,3.933333333333333,2020-07-12,10,2
39.07857142857143,453.7857142857143,26.5,3.533333333333333,2020-07-12,10,3
39.708333333333336,703.25,26.71666666666667,4.5,2020-07-12,10,4
40.06666666666667,777.0,27.46666666666667,5.0625,2020-07-12,11,1
40.9076923076923,831.6153846153846,28.476923076923075,5.4,2020-07-12,11,2
41.957142857142856,970.5,29.214285714285715,6.533333333333333,2020-07-12,11,3
43.03846153846154,989.0769230769231,29.815384615384616,6.571428571428571,2020-07-12,11,4
44.0,929.8666666666667,30.273333333333333,6.25,2020-07-12,12,1
