Name,Description,Type,Conversion,Unit,Decimals,Comments
Inv04_LL_Volt,Inv04_LL_Volt,Data source,Brookefield_Inv_LL_Volt,V,2,Instantaneous value
Inv04_Pf,Inv04_Pf,Data source,RawData ÷ 1000,,2,Instantaneous value
Inv04_R_Amps,Inv04_R_Amps,Data source,RawData ÷ 10,A,2,Instantaneous value
Inv04_R_Volt,Inv04_R_Volt,Data source,RawData ÷ 10,V,2,Instantaneous value
Inv04_Status,Inv04_Status,Data source,RawData × 1,,2,Instantaneous value
Inv04_Temp,Inv04_Temp,Data source,RawData ÷ 10,ºC,2,Instantaneous value
Inv04_Today_Energy,Inv04_Today_Energy,Data source,RawData ÷ 10,kWh,2,Incremental value
Inv04_Today_Run,Inv04_Today_Run,Data source,RawData × 1,min,2,Incremental value
Inv04_Total_Energy,Inv04_Total_Energy,Data source,RawData ÷ 1000,MWh,2,Incremental value
Inv04_Total_Run,Inv04_Total_Run,Data source,RawData × 1,h,2,Incremental value
Inv04_Y_Amps,Inv04_Y_Amps,Data source,RawData ÷ 10,A,2,Instantaneous value
Inv05_Act_Power,Inv05_Act_Power,Data source,RawData ÷ 1000,kW,2,Instantaneous value
Inv05_B_Amps,Inv05_B_Amps,Data source,RawData ÷ 10,A,2,Instantaneous value
Inv05_DC1-1_Amps,Inv05_DC1-1_Amps,Data source,RawData ÷ 100,A,2,Instantaneous value
Inv05_DC1-2_Amps,Inv05_DC1-2_Amps,Data source,RawData ÷ 100,A,2,Instantaneous value
Inv05_DC1_Volt,Inv05_DC1_Volt,Data source,RawData ÷ 10,V,2,Instantaneous value
Inv05_DC2-1_Amps,Inv05_DC2-1_Amps,Data source,RawData ÷ 100,A,2,Instantaneous value
Inv05_DC2-2_Amps,Inv05_DC2-2_Amps,Data source,RawData ÷ 100,A,2,Instantaneous value
Inv05_DC2_Volt,Inv05_DC2_Volt,Data source,RawData ÷ 10,V,2,Instantaneous value
Inv05_DC3-1_Amps,Inv05_DC3-1_Amps,Data source,RawData ÷ 100,A,2,Instantaneous value
Inv05_DC3-2_Amps,Inv05_DC3-2_Amps,Data source,RawData ÷ 100,A,2,Instantaneous value
Inv05_DC3_Volt,Inv05_DC3_Volt,Data source,RawData ÷ 10,V,2,Instantaneous value
Inv05_DC_Power,Inv05_DC_Power,Data source,RawData ÷ 1000,kW,2,Instantaneous value
Inv05_Fault_Code,Inv05_Fault_Code,Data source,RawData × 1,,2,Instantaneous value
Inv05_Freq,Inv05_Freq,Data source,RawData ÷ 10,Hz,2,Instantaneous value
Inv05_LL_Volt,Inv05_LL_Volt,Data source,Brookefield_Inv_LL_Volt,V,2,Instantaneous value
Inv05_Pf,Inv05_Pf,Data source,RawData ÷ 1000,,2,Instantaneous value
Inv05_R_Amps,Inv05_R_Amps,Data source,RawData ÷ 10,A,2,Instantaneous value
Inv05_R_Volt,Inv05_R_Volt,Data source,RawData ÷ 10,V,2,Instantaneous value
Inv05_Status,Inv05_Status,Data source,RawData × 1,,2,Instantaneous value
Inv05_Temp,Inv05_Temp,Data source,RawData ÷ 10,ºC,2,Instantaneous value
Inv05_Today_Energy,Inv05_Today_Energy,Data source,RawData ÷ 10,kWh,2,Incremental value
Inv05_Today_Run,Inv05_Today_Run,Data source,RawData × 1,min,2,Incremental value
Inv05_Total_Energy,Inv05_Total_Energy,Data source,RawData ÷ 1000,MWh,2,Incremental value
Inv05_Total_Run,Inv05_Total_Run,Data source,RawData × 1,h,2,Incremental value
Inv05_Y_Amps,Inv05_Y_Amps,Data source,RawData ÷ 10,A,2,Instantaneous value
Inv06_Act_Power,Inv06_Act_Power,Data source,RawData ÷ 1000,kW,2,Instantaneous value
Inv06_B_Amps,Inv06_B_Amps,Data source,RawData ÷ 10,A,2,Instantaneous value
Inv06_DC01_Amps,Inv06_DC01_Amps,Data source,RawData ÷ 100,A,2,Instantaneous value
Inv06_DC02_Amps,Inv06_DC02_Amps,Data source,RawData ÷ 100,A,2,Instantaneous value
Inv06_DC03_Amps,Inv06_DC03_Amps,Data source,RawData ÷ 100,A,2,Instantaneous value
Inv06_DC04_Amps,Inv06_DC04_Amps,Data source,RawData ÷ 100,A,2,Instantaneous value
Inv06_DC05_Amps,Inv06_DC05_Amps,Data source,RawData ÷ 100,A,2,Instantaneous value
Inv06_DC06_Amps,Inv06_DC06_Amps,Data source,RawData ÷ 100,A,2,Instantaneous value
Inv06_DC07_Amps,Inv06_DC07_Amps,Data source,RawData ÷ 100,A,2,Instantaneous value
Inv06_DC08_Amps,Inv06_DC08_Amps,Data source,RawData ÷ 100,A,2,Instantaneous value
Inv06_DC09_Amps,Inv06_DC09_Amps,Data source,RawData ÷ 100,A,2,Instantaneous value
Inv06_DC10_Amps,Inv06_DC10_Amps,Data source,RawData ÷ 100,A,2,Instantaneous value
Inv06_DC11_Amps,Inv06_DC11_Amps,Data source,RawData ÷ 100,A,2,Instantaneous value
Inv06_DC12_Amps,Inv06_DC12_Amps,Data source,RawData ÷ 100,A,2,Instantaneous value
Inv06_DC1_Volt,Inv06_DC1_Volt,Data source,RawData ÷ 10,V,2,Instantaneous value
Inv06_DC_Power,Inv06_DC_Power,Data source,RawData ÷ 1000,kW,2,Instantaneous value
Inv06_Fault_Code,Inv06_Fault_Code,Data source,RawData × 1,,2,Instantaneous value
Inv06_Freq,Inv06_Freq,Data source,RawData ÷ 10,Hz,2,Instantaneous value
Inv06_LL_Volt,Inv06_LL_Volt,Data source,Brookefield_Inv_LL_Volt,V,2,Instantaneous value
Inv06_Pf,Inv06_Pf,Data source,RawData ÷ 1000,,2,Instantaneous value
Inv06_R_Amps,Inv06_R_Amps,Data source,RawData ÷ 10,A,2,Instantaneous value
Inv06_R_Volt,Inv06_R_Volt,Data source,RawData ÷ 10,V,2,Instantaneous value
Inv06_Status,Inv06_Status,Data source,RawData × 1,,2,Instantaneous value
Inv06_Temp,Inv06_Temp,Data source,RawData ÷ 10,ºC,2,Instantaneous value
Inv06_Today_Energy,Inv06_Today_Energy,Data source,RawData ÷ 10,kWh,2,Incremental value
Inv06_Today_Run,Inv06_Today_Run,Data source,RawData × 1,min,2,Incremental value
Inv06_Total_Energy,Inv06_Total_Energy,Data source,RawData ÷ 1000,MWh,2,Incremental value
Inv06_Total_Run,Inv06_Total_Run,Data source,RawData × 1,h,2,Incremental value
Inv06_Y_Amps,Inv06_Y_Amps,Data source,RawData ÷ 10,A,2,Instantaneous value
Inv07_Act_Power,Inv07_Act_Power,Data source,RawData ÷ 1000,kW,2,Instantaneous value
Inv07_B_Amps,Inv07_B_Amps,Data source,RawData ÷ 10,A,2,Instantaneous value
Inv07_DC01_Amps,Inv07_DC01_Amps,Data source,RawData ÷ 100,A,2,Instantaneous value
Inv07_DC02_Amps,Inv07_DC02_Amps,Data source,RawData ÷ 100,A,2,Instantaneous value
Inv07_DC03_Amps,Inv07_DC03_Amps,Data source,RawData ÷ 100,A,2,Instantaneous value
Inv07_DC04_Amps,Inv07_DC04_Amps,Data source,RawData ÷ 100,A,2,Instantaneous value
Inv07_DC05_Amps,Inv07_DC05_Amps,Data source,RawData ÷ 100,A,2,Instantaneous value
Inv07_DC06_Amps,Inv07_DC06_Amps,Data source,RawData ÷ 100,A,2,Instantaneous value
Inv07_DC07_Amps,Inv07_DC07_Amps,Data source,RawData ÷ 100,A,2,Instantaneous value
Inv07_DC08_Amps,Inv07_DC08_Amps,Data source,RawData ÷ 100,A,2,Instantaneous value
